{'stock_code': '688027', 'initial_cash': 50000, 'final_value': 48877.1321, 'return_rate': -2.2457357999999927, 'max_drawdown': 4.867632000000012, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '300750', 'initial_cash': 50000, 'final_value': 45704.504, 'return_rate': -8.590991999999996, 'max_drawdown': 8.767695999999995, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '603893', 'initial_cash': 50000, 'final_value': 54474.89918, 'return_rate': 8.949798360000006, 'max_drawdown': 2.331616653104114, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '688041', 'initial_cash': 50000, 'final_value': 47221.83184, 'return_rate': -5.55633632, 'max_drawdown': 5.556336320000002, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '688041', 'initial_cash': 50000, 'final_value': 46004.969919999996, 'return_rate': -7.990060160000012, 'max_drawdown': 8.635730880000002, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '688617', 'initial_cash': 50000, 'final_value': 49297.0418, 'return_rate': -1.4059164000000068, 'max_drawdown': 4.742391957777068, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600150', 'initial_cash': 50000, 'final_value': 48914.0, 'return_rate': -2.171999999999996, 'max_drawdown': 3.24, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601669', 'initial_cash': 50000, 'final_value': 49560.5, 'return_rate': -0.8789999999999965, 'max_drawdown': 3.5362364907819455, 'total_trades': 5, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '603392', 'initial_cash': 50000, 'final_value': 53086.5, 'return_rate': 6.173000000000006, 'max_drawdown': 5.356267586457293, 'total_trades': 7, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600438', 'initial_cash': 50000, 'final_value': 47051.0, 'return_rate': -5.898000000000003, 'max_drawdown': 7.2695280836677805, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600032', 'initial_cash': 50000, 'final_value': 46474.0, 'return_rate': -7.052000000000003, 'max_drawdown': 7.109, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600578', 'initial_cash': 50000, 'final_value': 49918.5, 'return_rate': -0.16300000000000203, 'max_drawdown': 3.942, 'total_trades': 6, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '688475', 'initial_cash': 50000, 'final_value': 46318.0, 'return_rate': -7.364000000000004, 'max_drawdown': 9.086, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002709', 'initial_cash': 50000, 'final_value': 50450.0, 'return_rate': 0.8999999999999897, 'max_drawdown': 8.176, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600299', 'initial_cash': 50000, 'final_value': 54580.5, 'return_rate': 9.160999999999998, 'max_drawdown': 3.72778106105378, 'total_trades': 7, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002444', 'initial_cash': 50000, 'final_value': 46642.5, 'return_rate': -6.715000000000004, 'max_drawdown': 7.616, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '603338', 'initial_cash': 50000, 'final_value': 48056.0, 'return_rate': -3.8880000000000026, 'max_drawdown': 4.392, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601211', 'initial_cash': 50000, 'final_value': 48461.0, 'return_rate': -3.078000000000003, 'max_drawdown': 3.078, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600763', 'initial_cash': 50000, 'final_value': 44844.5, 'return_rate': -10.311000000000003, 'max_drawdown': 10.943, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
